Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"В наличии";"В наличии @Москва";"Краткое описание";Описание;Наклейка;Статус;"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";"Адрес видео на YouTube или Vimeo";"Дополнительные параметры";Пол;"Страна бренда";"Размеры ДхШхВ";Объем;Материал;Цвет;"Отделение для ноутбука";Вес;Бренд;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Рюкзак Asgard Р-5555 Бежевый темный";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--1;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{бежевый,16447975,2,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/43/38/3843/images/14662/14662.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/43/38/3843/images/14660/14660.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/43/38/3843/images/14656/14656.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/43/38/3843/images/14658/14658.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/43/38/3843/images/14659/14659.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/43/38/3843/images/14657/14657.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/43/38/3843/images/14661/14661.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 ГорчичныйW";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--2;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{Горчичный,16767832,24,4,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/44/38/3844/images/14670/14670.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/44/38/3844/images/14664/14664.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/44/38/3844/images/14665/14665.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/44/38/3844/images/14666/14666.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/44/38/3844/images/14667/14667.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/44/38/3844/images/14668/14668.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/44/38/3844/images/14669/14669.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 Зеленый темныйW";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--3;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{зеленый,3910715,10,17,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/45/38/3845/images/14678/14678.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/45/38/3845/images/14672/14672.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/45/38/3845/images/14673/14673.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/45/38/3845/images/14674/14674.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/45/38/3845/images/14675/14675.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/45/38/3845/images/14676/14676.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/45/38/3845/images/14677/14677.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 КоричневыйW";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--4;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{коричневый,9849600,8,11,};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/46/38/3846/images/14686/14686.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/46/38/3846/images/14680/14680.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/46/38/3846/images/14681/14681.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/46/38/3846/images/14682/14682.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/46/38/3846/images/14683/14683.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/46/38/3846/images/14684/14684.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/46/38/3846/images/14685/14685.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 Красный";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--5;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{красный,16711680,6,8,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/47/38/3847/images/14694/14694.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/47/38/3847/images/14688/14688.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/47/38/3847/images/14689/14689.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/47/38/3847/images/14690/14690.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/47/38/3847/images/14691/14691.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/47/38/3847/images/14692/14692.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/47/38/3847/images/14693/14693.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 МолокоW";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--6;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{бежевый,16447975,2,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/48/38/3848/images/14702/14702.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/48/38/3848/images/14696/14696.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/48/38/3848/images/14697/14697.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/48/38/3848/images/14698/14698.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/48/38/3848/images/14699/14699.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/48/38/3848/images/14700/14700.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/48/38/3848/images/14701/14701.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 ОливковыйW";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--7;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{Оливковый,8421376,25,16,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/49/38/3849/images/14710/14710.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/49/38/3849/images/14704/14704.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/49/38/3849/images/14705/14705.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/49/38/3849/images/14706/14706.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/49/38/3849/images/14707/14707.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/49/38/3849/images/14708/14708.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/49/38/3849/images/14709/14709.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 Песочный";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--8;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{серый,11052710,12,19,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/50/38/3850/images/14718/14718.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/50/38/3850/images/14712/14712.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/50/38/3850/images/14713/14713.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/50/38/3850/images/14714/14714.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/50/38/3850/images/14715/14715.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/50/38/3850/images/14716/14716.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/50/38/3850/images/14717/14717.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 Серо-зеленый W";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--9;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{серый,11052710,12,19,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/51/38/3851/images/14726/14726.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/51/38/3851/images/14720/14720.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/51/38/3851/images/14721/14721.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/51/38/3851/images/14722/14722.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/51/38/3851/images/14723/14723.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/51/38/3851/images/14724/14724.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/51/38/3851/images/14725/14725.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 Серо-синий W";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--10;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{синий,255,9,14,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/52/38/3852/images/14734/14734.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/52/38/3852/images/14728/14728.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/52/38/3852/images/14729/14729.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/52/38/3852/images/14730/14730.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/52/38/3852/images/14731/14731.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/52/38/3852/images/14732/14732.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/52/38/3852/images/14733/14733.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 Синий W";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--11;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{синий,255,9,14,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/53/38/3853/images/14742/14742.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/53/38/3853/images/14736/14736.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/53/38/3853/images/14737/14737.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/53/38/3853/images/14738/14738.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/53/38/3853/images/14739/14739.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/53/38/3853/images/14740/14740.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/53/38/3853/images/14741/14741.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 Синий темныйW";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--12;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{синий,255,9,14,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/54/38/3854/images/14750/14750.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/54/38/3854/images/14744/14744.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/54/38/3854/images/14745/14745.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/54/38/3854/images/14746/14746.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/54/38/3854/images/14747/14747.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/54/38/3854/images/14748/14748.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/54/38/3854/images/14749/14749.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 Теракотовый W";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--13;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{красный,16711680,6,8,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/55/38/3855/images/14758/14758.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/55/38/3855/images/14752/14752.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/55/38/3855/images/14753/14753.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/55/38/3855/images/14754/14754.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/55/38/3855/images/14755/14755.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/55/38/3855/images/14756/14756.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/55/38/3855/images/14757/14757.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 ХакиW";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--14;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{Хаки,7898731,27,15,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/56/38/3856/images/14766/14766.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/56/38/3856/images/14760/14760.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/56/38/3856/images/14761/14761.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/56/38/3856/images/14762/14762.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/56/38/3856/images/14763/14763.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/56/38/3856/images/14764/14764.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/56/38/3856/images/14765/14765.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 Черно-серыйW";;Р-5555;RUB;4290;1;0;3140;1000;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--15;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{черный,0,13,20,,11};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/57/38/3857/images/14774/14774.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/57/38/3857/images/14768/14768.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/57/38/3857/images/14769/14769.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/57/38/3857/images/14770/14770.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/57/38/3857/images/14771/14771.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/57/38/3857/images/14772/14772.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/57/38/3857/images/14773/14773.970.jpg;;;;;;;;;;;;
"Рюкзак Asgard Р-5555 ЧерныйW";;Р-5555;RUB;4290;1;0;3588;0;;;;;1;Рюкзаки;;;;;;ryukzak-asgard-r-5555--16;;;мужской;Российские;"48 * 31 * 14 см";"17 л";Брезент;{черный,0,13,20,11,};15'';"0.9 кг";Asgard;https://goldentrek.ru/wa-data/public/shop/products/58/38/3858/images/14782/14782.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/58/38/3858/images/14776/14776.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/58/38/3858/images/14777/14777.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/58/38/3858/images/14778/14778.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/58/38/3858/images/14779/14779.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/58/38/3858/images/14780/14780.970.jpg;https://goldentrek.ru/wa-data/public/shop/products/58/38/3858/images/14781/14781.970.jpg;;;;;;;;;;;;
